,score
526,13.0
527,14.0
528,8.0
529,14.0
530,14.0
531,13.0
532,13.0
533,7.0
534,10.0
535,11.0
536,16.0
537,15.0
538,10.0
539,10.0
540,17.0
541,16.0
542,11.0
543,9.0
544,12.0
545,11.0
546,12.0
547,11.0
548,9.0
549,15.0
550,16.0
551,15.0
552,18.0
553,9.0
554,13.0
555,14.0
556,10.0
557,9.0
558,7.0
559,13.0
560,12.0
561,12.0
562,4.0
563,14.0
564,14.0
565,14.0
566,14.0
567,12.0
568,9.0
569,10.0
570,11.0
571,18.0
572,14.0
573,9.0
574,16.0
575,14.0
576,9.0
577,16.0
578,14.0
579,13.0
580,18.0
581,12.0
582,16.0
583,16.0
584,17.0
585,12.0
586,13.0
587,9.0
588,11.0
589,15.0
590,9.0
591,11.0
592,10.0
593,21.0
594,12.0
595,12.0
596,12.0
597,15.0
598,5.0
599,13.0
600,9.0
601,10.0
602,8.0
603,14.0
604,16.0
605,17.0
606,15.0
607,14.0
608,13.0
609,14.0
610,14.0
611,8.0
612,16.0
613,19.0
614,7.0
615,14.0
616,16.0
617,15.0
618,12.0
619,12.0
620,12.0
621,16.0
622,15.0
623,17.0
624,15.0
625,19.0
626,13.0
627,10.0
628,17.0
629,16.0
630,16.0
631,15.0
632,10.0
633,12.0
634,15.0
635,15.0
636,16.0
637,19.0
638,16.0
639,11.0
640,9.0
641,12.0
642,19.0
643,15.0
644,15.0
645,12.0
646,15.0
647,14.0
648,15.0
649,10.0
650,14.0
651,14.0
652,7.0
653,13.0
654,12.0
655,14.0
656,15.0
657,12.0
658,15.0
659,10.0
660,14.0
661,14.0
662,16.0
663,9.0
664,13.0
665,11.0
666,10.0
667,21.0
668,16.0
669,15.0
670,17.0
671,13.0
672,13.0
673,10.0
674,16.0
675,13.0
676,16.0
677,15.0
678,13.0
679,14.0
680,14.0
681,9.0
682,12.0
683,13.0
684,11.0
685,14.0
686,16.0
687,13.0
688,14.0
689,17.0
690,10.0
691,10.0
692,14.0
693,14.0
694,16.0
695,13.0
696,10.0
697,15.0
698,13.0
699,7.0
700,17.0
701,12.0
702,9.0
703,11.0
704,16.0
705,12.0
706,7.0
707,12.0
708,14.0
709,12.0
710,9.0
711,12.0
712,12.0
713,11.0
714,15.0
715,16.0
716,8.0
717,12.0
718,12.0
719,17.0
720,8.0
721,13.0
722,15.0
723,14.0
724,15.0
725,15.0
726,11.0
727,17.0
728,10.0
729,8.0
730,11.0
731,14.0
732,7.0
733,9.0
734,13.0
735,11.0
736,12.0
737,13.0
738,11.0
739,6.0
740,13.0
741,16.0
742,2.0
743,16.0
744,13.0
745,15.0
746,14.0
747,2.0
748,13.0
749,19.0
750,12.0
751,8.0
752,13.0
753,15.0
754,19.0
755,23.0
756,15.0
757,14.0
758,16.0
759,16.0
760,4.0
761,12.0
762,17.0
763,13.0
764,16.0
765,9.0
766,10.0
767,20.0
768,9.0
769,13.0
770,11.0
771,17.0
772,14.0
773,14.0
774,15.0
775,15.0
776,15.0
777,19.0
778,10.0
779,14.0
780,18.0
781,13.0
782,8.0
783,16.0
784,9.0
785,11.0
786,13.0
787,14.0
788,14.0
789,15.0
790,20.0
791,13.0
792,5.0
793,14.0
794,8.0
795,13.0
796,19.0
797,12.0
798,10.0
799,10.0
800,12.0
801,15.0
802,9.0
803,18.0
804,10.0
805,15.0
806,14.0
807,10.0
808,18.0
809,12.0
810,10.0
811,13.0
812,13.0
813,20.0
814,10.0
815,19.0
816,16.0
817,13.0
818,14.0
819,22.0
820,11.0
821,15.0
822,19.0
823,18.0
824,11.0
825,22.0
826,15.0
827,14.0
828,16.0
829,17.0
830,18.0
831,11.0
832,16.0
833,13.0
834,14.0
835,11.0
836,14.0
837,17.0
838,11.0
839,16.0
840,8.0
841,11.0
842,18.0
843,17.0
844,15.0
845,7.0
846,15.0
847,15.0
848,17.0
849,15.0
850,15.0
851,11.0
852,12.0
853,17.0
854,11.0
855,16.0
856,13.0
857,15.0
858,8.0
859,14.0
860,20.0
861,18.0
862,15.0
863,15.0
864,14.0
865,13.0
866,18.0
867,11.0
868,19.0
869,14.0
870,17.0
871,15.0
872,18.0
873,17.0
874,18.0
875,8.0
876,12.0
877,16.0
878,17.0
879,13.0
880,16.0
881,19.0
882,20.0
883,13.0
884,11.0
885,10.0
886,15.0
887,13.0
888,14.0
889,13.0
890,18.0
891,20.0
892,16.0
893,16.0
894,15.0
895,11.0
896,14.0
897,12.0
898,13.0
899,13.0
900,11.0
901,12.0
902,18.0
903,16.0
904,14.0
905,17.0
906,2.0
907,16.0
908,11.0
909,16.0
910,16.0
911,16.0
912,11.0
913,4.0
914,2.0
915,6.0
916,13.0
917,12.0
918,10.0
919,20.0
920,21.0
921,11.0
922,11.0
923,12.0
924,12.0
925,14.0
926,13.0
927,17.0
928,22.0
929,16.0
930,10.0
931,16.0
932,14.0
933,11.0
934,17.0
935,14.0
936,18.0
937,20.0
938,15.0
939,15.0
940,10.0
941,18.0
942,17.0
943,13.0
944,16.0
945,17.0
946,16.0
947,13.0
948,22.0
949,11.0
950,19.0
951,14.0
952,15.0
953,8.0
954,11.0
955,15.0
956,13.0
957,11.0
958,11.0
959,14.0
960,11.0
961,14.0
962,19.0
963,11.0
964,17.0
965,15.0
966,13.0
967,14.0
968,19.0
969,16.0
970,19.0
971,20.0
972,13.0
973,17.0
