,score
527,6.0
528,18.0
529,10.0
530,13.0
531,13.0
532,17.0
533,8.0
534,14.0
535,4.0
536,13.0
537,12.0
538,15.0
539,11.0
540,15.0
541,16.0
542,13.0
543,14.0
544,5.0
545,10.0
546,13.0
547,19.0
548,15.0
549,11.0
550,13.0
551,7.0
552,14.0
553,14.0
554,12.0
555,9.0
556,10.0
557,18.0
558,12.0
559,13.0
560,13.0
561,15.0
562,14.0
563,19.0
564,13.0
565,14.0
566,10.0
567,6.0
568,13.0
569,17.0
570,14.0
571,15.0
572,15.0
573,11.0
574,13.0
575,13.0
576,19.0
577,14.0
578,11.0
579,13.0
580,19.0
581,16.0
582,17.0
583,12.0
584,17.0
585,11.0
586,10.0
587,10.0
588,11.0
589,12.0
590,14.0
591,9.0
592,8.0
593,11.0
594,20.0
595,12.0
596,12.0
597,17.0
598,15.0
599,11.0
600,12.0
601,12.0
602,16.0
603,12.0
604,10.0
605,6.0
606,9.0
607,14.0
608,9.0
609,13.0
610,13.0
611,12.0
612,12.0
613,15.0
614,6.0
615,12.0
616,15.0
617,16.0
618,9.0
619,16.0
620,13.0
621,13.0
622,11.0
623,12.0
624,14.0
625,14.0
626,15.0
627,14.0
628,14.0
629,6.0
630,14.0
631,17.0
632,16.0
633,12.0
634,10.0
635,11.0
636,16.0
637,16.0
638,11.0
639,13.0
640,12.0
641,16.0
642,14.0
643,15.0
644,16.0
645,11.0
646,16.0
647,16.0
648,14.0
649,17.0
650,18.0
651,14.0
652,19.0
653,19.0
654,15.0
655,8.0
656,10.0
657,13.0
658,16.0
659,14.0
660,13.0
661,16.0
662,12.0
663,17.0
664,16.0
665,10.0
666,12.0
667,3.0
668,9.0
669,10.0
670,17.0
671,12.0
672,16.0
673,11.0
674,12.0
675,17.0
676,10.0
677,9.0
678,7.0
679,0.0
680,12.0
681,8.0
682,0.0
683,3.0
684,0.0
685,1.0
686,13.0
687,-1.0
688,-1.0
689,0.0
690,0.0
691,12.0
692,4.0
693,16.0
694,4.0
695,11.0
696,10.0
697,8.0
698,12.0
699,14.0
700,9.0
701,5.0
702,12.0
703,13.0
704,13.0
705,10.0
706,2.0
707,9.0
708,11.0
709,5.0
710,2.0
711,3.0
712,12.0
713,8.0
714,1.0
715,4.0
716,5.0
717,1.0
718,-2.0
719,1.0
720,5.0
721,8.0
722,7.0
723,11.0
724,5.0
725,7.0
726,4.0
727,5.0
728,8.0
729,6.0
730,5.0
731,7.0
732,9.0
733,13.0
734,2.0
735,11.0
736,12.0
737,6.0
738,12.0
739,2.0
740,7.0
741,13.0
742,12.0
743,8.0
744,3.0
745,5.0
746,13.0
747,9.0
748,5.0
749,13.0
750,7.0
751,2.0
