,score
528,17.0
529,10.0
530,11.0
531,16.0
532,14.0
533,19.0
534,20.0
535,19.0
536,11.0
537,16.0
538,8.0
539,16.0
540,11.0
541,11.0
542,15.0
543,11.0
544,11.0
545,14.0
546,17.0
547,15.0
548,15.0
549,9.0
550,17.0
551,12.0
552,10.0
553,17.0
554,12.0
555,11.0
556,10.0
557,9.0
558,19.0
559,10.0
560,10.0
561,13.0
562,13.0
563,17.0
564,11.0
565,13.0
566,8.0
567,6.0
568,11.0
569,12.0
570,9.0
571,8.0
572,7.0
573,8.0
574,10.0
575,6.0
576,10.0
577,12.0
578,15.0
579,17.0
580,9.0
581,16.0
582,7.0
583,8.0
584,12.0
585,22.0
586,6.0
587,8.0
588,20.0
589,12.0
590,14.0
591,16.0
592,15.0
593,15.0
594,18.0
595,15.0
596,7.0
597,11.0
598,7.0
599,11.0
600,12.0
601,12.0
602,10.0
603,9.0
604,10.0
605,9.0
606,13.0
607,17.0
608,15.0
609,14.0
610,18.0
611,12.0
612,9.0
613,10.0
614,7.0
615,18.0
616,16.0
617,13.0
618,9.0
619,13.0
620,12.0
621,13.0
622,14.0
623,15.0
624,6.0
625,15.0
626,7.0
627,12.0
628,17.0
629,13.0
630,17.0
631,8.0
632,17.0
633,17.0
634,15.0
635,12.0
636,16.0
637,17.0
638,12.0
639,14.0
640,20.0
641,19.0
642,14.0
643,19.0
644,14.0
645,11.0
646,12.0
647,10.0
648,10.0
649,10.0
650,13.0
651,19.0
652,15.0
653,16.0
654,13.0
655,15.0
656,17.0
657,14.0
658,16.0
659,11.0
660,6.0
661,18.0
662,7.0
663,14.0
664,16.0
665,18.0
666,11.0
667,14.0
668,19.0
669,10.0
670,14.0
671,12.0
672,12.0
673,15.0
674,14.0
675,13.0
676,12.0
677,14.0
678,10.0
679,11.0
680,12.0
681,19.0
682,20.0
683,16.0
684,15.0
685,9.0
686,18.0
687,12.0
688,16.0
689,12.0
690,16.0
691,14.0
692,15.0
693,11.0
694,16.0
695,17.0
696,18.0
697,16.0
698,14.0
699,12.0
700,13.0
701,13.0
702,19.0
703,14.0
704,11.0
705,16.0
706,13.0
707,18.0
708,16.0
709,15.0
710,16.0
711,14.0
712,12.0
713,11.0
714,12.0
715,14.0
716,16.0
717,14.0
718,16.0
719,17.0
720,12.0
721,21.0
722,13.0
723,12.0
724,16.0
725,17.0
726,12.0
727,18.0
728,10.0
729,11.0
730,17.0
731,19.0
732,11.0
733,18.0
734,17.0
735,13.0
736,17.0
737,17.0
738,13.0
739,11.0
740,10.0
741,19.0
742,17.0
743,14.0
744,18.0
745,12.0
