,score
522,12.0
523,4.0
524,1.0
525,2.0
526,0.0
527,7.0
528,12.0
529,4.0
530,4.0
531,9.0
532,5.0
533,9.0
534,9.0
535,4.0
536,1.0
537,10.0
538,9.0
539,2.0
540,7.0
541,8.0
542,5.0
543,11.0
544,4.0
545,10.0
546,11.0
547,7.0
548,1.0
549,4.0
550,7.0
551,6.0
552,10.0
553,4.0
554,4.0
555,-1.0
556,10.0
557,5.0
558,7.0
559,0.0
560,13.0
561,4.0
562,8.0
563,9.0
564,4.0
565,8.0
566,8.0
567,2.0
568,5.0
569,0.0
570,10.0
571,4.0
572,6.0
573,2.0
574,4.0
575,3.0
576,10.0
577,6.0
578,6.0
579,7.0
580,1.0
581,12.0
582,6.0
583,5.0
584,4.0
585,5.0
586,9.0
587,6.0
588,4.0
589,13.0
590,12.0
591,8.0
592,3.0
593,2.0
594,12.0
595,15.0
596,3.0
597,15.0
598,5.0
599,7.0
600,14.0
601,7.0
602,9.0
603,6.0
604,9.0
605,7.0
606,12.0
607,9.0
608,10.0
609,10.0
610,10.0
611,3.0
612,10.0
613,9.0
614,8.0
615,2.0
616,7.0
617,7.0
618,0.0
619,4.0
620,5.0
621,10.0
622,9.0
623,9.0
624,7.0
625,12.0
626,11.0
627,6.0
628,13.0
629,7.0
630,6.0
631,11.0
632,8.0
633,5.0
634,14.0
635,9.0
636,7.0
637,10.0
638,7.0
639,7.0
640,9.0
641,9.0
642,8.0
643,11.0
644,2.0
645,7.0
646,9.0
647,10.0
648,8.0
649,2.0
650,11.0
651,4.0
652,8.0
653,4.0
654,8.0
655,10.0
656,9.0
657,7.0
658,8.0
659,4.0
660,3.0
661,14.0
662,8.0
663,16.0
664,9.0
665,7.0
666,3.0
667,6.0
668,6.0
669,9.0
670,7.0
671,4.0
672,11.0
673,9.0
674,8.0
675,8.0
676,9.0
677,13.0
678,2.0
679,4.0
680,6.0
681,5.0
682,1.0
683,7.0
684,10.0
685,7.0
686,4.0
687,9.0
688,3.0
689,6.0
690,14.0
691,10.0
692,4.0
693,7.0
694,3.0
695,12.0
696,5.0
697,8.0
698,5.0
699,11.0
700,5.0
701,8.0
702,12.0
703,10.0
704,1.0
705,17.0
706,6.0
707,6.0
708,9.0
709,5.0
710,9.0
711,7.0
712,2.0
713,12.0
714,8.0
715,12.0
716,0.0
717,3.0
718,5.0
719,10.0
720,11.0
721,8.0
722,9.0
723,5.0
724,8.0
725,5.0
726,4.0
727,1.0
728,4.0
729,2.0
730,9.0
731,-1.0
732,3.0
733,13.0
734,1.0
735,10.0
736,10.0
737,13.0
738,12.0
739,4.0
740,8.0
741,4.0
742,5.0
743,4.0
744,3.0
745,8.0
746,10.0
747,7.0
748,13.0
749,9.0
750,11.0
751,12.0
752,7.0
753,8.0
754,9.0
755,5.0
756,4.0
757,9.0
758,5.0
759,11.0
760,10.0
761,7.0
762,4.0
763,3.0
764,7.0
765,4.0
766,13.0
767,9.0
768,2.0
769,10.0
770,6.0
771,4.0
772,8.0
773,6.0
774,11.0
775,1.0
776,8.0
777,6.0
778,11.0
779,9.0
780,10.0
781,1.0
782,2.0
783,8.0
784,5.0
785,3.0
786,9.0
787,16.0
788,12.0
789,7.0
790,6.0
791,4.0
792,5.0
793,7.0
794,10.0
795,9.0
796,7.0
797,6.0
798,1.0
799,7.0
800,14.0
801,14.0
802,4.0
803,7.0
804,7.0
805,9.0
806,6.0
807,8.0
808,8.0
809,13.0
810,14.0
811,5.0
812,11.0
813,7.0
814,10.0
815,15.0
816,8.0
817,8.0
818,6.0
819,9.0
820,9.0
821,15.0
822,9.0
823,7.0
824,6.0
825,7.0
826,13.0
827,10.0
828,16.0
829,9.0
830,11.0
831,12.0
832,13.0
833,5.0
834,5.0
835,10.0
836,13.0
837,7.0
838,10.0
839,9.0
840,8.0
841,14.0
842,12.0
843,6.0
844,5.0
845,17.0
846,12.0
847,10.0
848,4.0
849,2.0
850,5.0
851,6.0
852,10.0
853,11.0
854,7.0
855,9.0
856,10.0
857,8.0
858,9.0
859,13.0
860,6.0
861,10.0
862,7.0
863,14.0
864,6.0
865,15.0
866,8.0
867,3.0
868,12.0
869,10.0
870,15.0
871,16.0
872,9.0
873,5.0
874,12.0
875,8.0
876,11.0
877,10.0
878,5.0
879,9.0
880,12.0
881,16.0
882,9.0
883,9.0
884,12.0
885,11.0
886,13.0
887,15.0
888,6.0
889,14.0
890,5.0
891,12.0
892,20.0
893,16.0
894,2.0
895,12.0
896,5.0
897,10.0
898,8.0
899,12.0
900,13.0
901,8.0
902,5.0
903,10.0
904,8.0
905,5.0
906,4.0
907,10.0
908,9.0
909,7.0
910,8.0
911,10.0
912,8.0
913,6.0
914,11.0
915,5.0
916,6.0
917,5.0
918,11.0
919,9.0
920,6.0
921,3.0
922,12.0
923,7.0
924,6.0
925,13.0
926,8.0
927,7.0
928,5.0
929,12.0
930,6.0
931,7.0
932,9.0
933,12.0
934,14.0
935,12.0
936,14.0
937,13.0
938,8.0
939,12.0
940,10.0
941,7.0
