,score
528,15.0
529,8.0
530,8.0
531,16.0
532,13.0
533,14.0
534,12.0
535,9.0
536,17.0
537,15.0
538,19.0
539,7.0
540,18.0
541,12.0
542,10.0
543,15.0
544,13.0
545,14.0
546,12.0
547,14.0
548,9.0
549,16.0
550,15.0
551,11.0
552,11.0
553,10.0
554,14.0
555,17.0
556,14.0
557,20.0
558,14.0
559,13.0
560,15.0
561,12.0
562,13.0
563,10.0
564,16.0
565,13.0
566,9.0
567,14.0
568,12.0
569,19.0
570,13.0
571,13.0
572,13.0
573,18.0
574,15.0
575,13.0
576,21.0
577,17.0
578,15.0
579,11.0
580,16.0
581,16.0
582,9.0
583,14.0
584,12.0
585,12.0
586,17.0
587,14.0
588,7.0
589,20.0
590,16.0
591,14.0
592,7.0
593,10.0
594,14.0
595,15.0
596,13.0
597,13.0
598,6.0
599,14.0
600,9.0
601,11.0
602,10.0
603,17.0
604,15.0
605,9.0
606,14.0
607,14.0
608,16.0
609,16.0
610,10.0
611,20.0
612,14.0
613,14.0
614,19.0
615,14.0
616,17.0
617,15.0
618,19.0
619,17.0
620,14.0
621,14.0
622,10.0
623,11.0
624,18.0
625,17.0
626,14.0
627,14.0
628,12.0
629,8.0
630,13.0
631,20.0
632,9.0
633,19.0
634,16.0
635,16.0
636,11.0
637,18.0
638,13.0
639,13.0
640,15.0
641,12.0
642,15.0
643,16.0
644,8.0
645,13.0
646,16.0
647,14.0
648,19.0
649,15.0
650,19.0
651,11.0
652,15.0
653,14.0
654,17.0
655,16.0
656,12.0
657,14.0
658,18.0
659,17.0
660,17.0
661,19.0
662,15.0
663,14.0
664,14.0
665,16.0
666,18.0
667,10.0
668,12.0
669,9.0
670,11.0
671,10.0
672,14.0
673,18.0
674,15.0
675,14.0
676,12.0
677,10.0
678,17.0
679,17.0
680,16.0
681,15.0
682,18.0
683,15.0
684,17.0
685,11.0
686,15.0
687,18.0
688,16.0
689,11.0
690,15.0
691,17.0
692,20.0
693,15.0
694,14.0
695,18.0
696,18.0
697,12.0
698,18.0
699,17.0
700,17.0
701,10.0
702,19.0
703,10.0
704,16.0
705,19.0
706,11.0
707,23.0
708,13.0
709,16.0
710,18.0
711,16.0
712,17.0
713,17.0
714,17.0
715,22.0
716,14.0
717,19.0
718,17.0
719,15.0
720,15.0
721,12.0
722,14.0
723,17.0
724,19.0
725,16.0
726,14.0
727,18.0
728,12.0
729,10.0
730,13.0
731,19.0
732,14.0
733,20.0
734,17.0
735,19.0
736,13.0
737,17.0
738,16.0
739,12.0
740,21.0
741,9.0
742,17.0
743,11.0
744,11.0
745,14.0
746,15.0
747,17.0
748,12.0
749,12.0
750,14.0
751,18.0
752,12.0
753,9.0
754,15.0
755,16.0
756,14.0
757,19.0
758,17.0
759,11.0
760,12.0
761,16.0
762,10.0
763,17.0
764,18.0
765,13.0
766,13.0
767,12.0
